date,year,month,month_name,quarter,quarter_label,year_month,day_of_week,is_weekend,week_number
2017-09-06,2017,9,September,3,Q3,2017-09,Wednesday,0,36
2017-09-07,2017,9,September,3,Q3,2017-09,Thursday,0,36
2017-09-08,2017,9,September,3,Q3,2017-09,Friday,0,36
2017-09-09,2017,9,September,3,Q3,2017-09,Saturday,1,36
2017-09-10,2017,9,September,3,Q3,2017-09,Sunday,1,36
2017-09-11,2017,9,September,3,Q3,2017-09,Monday,0,37
2017-09-12,2017,9,September,3,Q3,2017-09,Tuesday,0,37
2017-09-13,2017,9,September,3,Q3,2017-09,Wednesday,0,37
2017-09-14,2017,9,September,3,Q3,2017-09,Thursday,0,37
2017-09-15,2017,9,September,3,Q3,2017-09,Friday,0,37
2017-09-16,2017,9,September,3,Q3,2017-09,Saturday,1,37
2017-09-17,2017,9,September,3,Q3,2017-09,Sunday,1,37
2017-09-18,2017,9,September,3,Q3,2017-09,Monday,0,38
2017-09-19,2017,9,September,3,Q3,2017-09,Tuesday,0,38
2017-09-20,2017,9,September,3,Q3,2017-09,Wednesday,0,38
2017-09-21,2017,9,September,3,Q3,2017-09,Thursday,0,38
2017-09-22,2017,9,September,3,Q3,2017-09,Friday,0,38
2017-09-23,2017,9,September,3,Q3,2017-09,Saturday,1,38
2017-09-24,2017,9,September,3,Q3,2017-09,Sunday,1,38
2017-09-25,2017,9,September,3,Q3,2017-09,Monday,0,39
2017-09-26,2017,9,September,3,Q3,2017-09,Tuesday,0,39
2017-09-27,2017,9,September,3,Q3,2017-09,Wednesday,0,39
2017-09-28,2017,9,September,3,Q3,2017-09,Thursday,0,39
2017-09-29,2017,9,September,3,Q3,2017-09,Friday,0,39
2017-09-30,2017,9,September,3,Q3,2017-09,Saturday,1,39
2017-10-01,2017,10,October,4,Q4,2017-10,Sunday,1,39
2017-10-02,2017,10,October,4,Q4,2017-10,Monday,0,40
2017-10-03,2017,10,October,4,Q4,2017-10,Tuesday,0,40
2017-10-04,2017,10,October,4,Q4,2017-10,Wednesday,0,40
2017-10-05,2017,10,October,4,Q4,2017-10,Thursday,0,40
2017-10-06,2017,10,October,4,Q4,2017-10,Friday,0,40
2017-10-07,2017,10,October,4,Q4,2017-10,Saturday,1,40
2017-10-08,2017,10,October,4,Q4,2017-10,Sunday,1,40
2017-10-09,2017,10,October,4,Q4,2017-10,Monday,0,41
2017-10-10,2017,10,October,4,Q4,2017-10,Tuesday,0,41
2017-10-11,2017,10,October,4,Q4,2017-10,Wednesday,0,41
2017-10-12,2017,10,October,4,Q4,2017-10,Thursday,0,41
2017-10-13,2017,10,October,4,Q4,2017-10,Friday,0,41
2017-10-14,2017,10,October,4,Q4,2017-10,Saturday,1,41
2017-10-15,2017,10,October,4,Q4,2017-10,Sunday,1,41
2017-10-16,2017,10,October,4,Q4,2017-10,Monday,0,42
2017-10-17,2017,10,October,4,Q4,2017-10,Tuesday,0,42
2017-10-18,2017,10,October,4,Q4,2017-10,Wednesday,0,42
2017-10-19,2017,10,October,4,Q4,2017-10,Thursday,0,42
2017-10-20,2017,10,October,4,Q4,2017-10,Friday,0,42
2017-10-21,2017,10,October,4,Q4,2017-10,Saturday,1,42
2017-10-22,2017,10,October,4,Q4,2017-10,Sunday,1,42
